Book_ID,Book_Title,Price,Availability,Star_Rating,Book_URL
1,In Her Wake,Â£12.84,In stock,One,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
2,How Music Works,Â£37.32,In stock,Two,https://books.toscrape.com/catalogue/how-music-works_979/index.html
3,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
4,Chase Me (Paris Nights #2),Â£25.27,In stock,Five,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
5,Black Dust,Â£34.53,In stock,Five,https://books.toscrape.com/catalogue/black-dust_976/index.html
6,Birdsong: A Story in Pictures,Â£54.64,In stock,Three,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
7,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
8,Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
9,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
10,Wall and Piece,Â£44.18,In stock,Four,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
11,The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
12,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
13,The Elephant Tree,Â£23.82,In stock,Five,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
14,The Bear and the Piano,Â£36.89,In stock,One,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
15,Sophie's World,Â£15.94,In stock,Five,https://books.toscrape.com/catalogue/sophies-world_966/index.html
16,Penny Maybe,Â£33.29,In stock,Three,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
17,Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,Two,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
18,"In a Dark, Dark Wood",Â£19.63,In stock,One,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
19,Behind Closed Doors,Â£52.22,In stock,Four,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
20,You can't bury them all: Poems,Â£33.63,In stock,Two,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
21,Slow States of Collapse: Poems,Â£57.31,In stock,Three,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
22,Reasons to Stay Alive,Â£26.41,In stock,Two,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
23,Private Paris (Private #10),Â£47.61,In stock,Five,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
24,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,Five,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
25,Without Borders (Wanderlove #1),Â£45.07,In stock,Two,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
26,When We Collided,Â£31.77,In stock,One,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
27,"We Love You, Charlie Freeman",Â£50.27,In stock,Five,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
28,Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,Four,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
29,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,Four,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
30,Unicorn Tracks,Â£18.78,In stock,Three,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
31,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,One,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
32,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,One,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
33,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,Three,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
34,This One Summer,Â£19.49,In stock,Four,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
35,Thirst,Â£17.27,In stock,Five,https://books.toscrape.com/catalogue/thirst_946/index.html
36,The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,One,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
37,The Secret of Dreadwillow Carse,Â£56.13,In stock,One,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
38,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,One,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
39,The Past Never Ends,Â£56.50,In stock,Four,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
